directory,url,asset_to_submit,status,date,notes
There's An AI For That,https://theresanaiforthat.com,AI Crawler Check tool,pending,,
Futurepedia,https://www.futurepedia.io,AI Crawler Check tool,pending,,
AI Tool Report,https://aitoolreport.com,AI Crawler Check tool,pending,,
Toolify,https://www.toolify.ai,AI Crawler Check tool,pending,,
AI Tools Directory,https://aitoolsdirectory.com,AI Crawler Check tool,pending,,
Insidr.ai,https://www.insidr.ai/ai-tools,AI Crawler Check tool,pending,,
SaaSHub,https://www.saashub.com,aicantfindme.com,pending,,
AlternativeTo,https://alternativeto.net,aicantfindme.com,pending,,
Product Hunt,https://www.producthunt.com,AI Crawler Check tool,pending,,needs manual launch day
BetaList,https://betalist.com,aicantfindme.com,pending,,
Startup Stash,https://startupstash.com,aicantfindme.com,pending,,
Dev.to listings,https://dev.to/listings,AI Crawler Check tool,pending,,
G2,https://www.g2.com,aicantfindme.com,pending,,needs review profile
Capterra,https://www.capterra.com,aicantfindme.com,pending,,needs review profile
TopAI.tools,https://topai.tools,AI Crawler Check tool,pending,,
AI Parabellum,https://aiparabellum.com,AI Crawler Check tool,pending,,
DoMore.ai,https://domore.ai,AI Crawler Check tool,pending,,
Easy With AI,https://easywithai.com,AI Crawler Check tool,pending,,
aitools.fyi,https://aitools.fyi,AI Crawler Check tool,pending,,
Supertools,https://supertools.therundown.ai,AI Crawler Check tool,pending,,
